Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57693171,Olga Dies Dreaming,Xóchitl González,"González, Xóchitl",,"=""1250786177""","=""9781250786173""",0,4.00,Flatiron Books,Hardcover,369,2022,2022,,2022/01/20,to-read,to-read (#114),to-read,,,,0,0
54208009,Alone With You in the Ether,Olivie Blake,"Blake, Olivie",,"=""""","=""""",4,3.96,,Kindle Edition,248,2020,2020,2022/01/18,2022/01/03,,,read,"I loved the characters, the story and there were some really beautifully written phrases in this book! I also loved her acknowledgement at the end. The formatting and the chapters from the third person perspective weren't my favorite though.<br/><br/> Can't wait to read more from Olivie!",,,1,0
54814834,Under a White Sky: The Nature of the Future,Elizabeth Kolbert,"Kolbert, Elizabeth",,"=""0593136276""","=""9780593136270""",0,4.10,Crown,Hardcover,234,2021,2021,,2022/01/17,to-read,to-read (#113),to-read,,,,0,0
41552709,The Uninhabitable Earth: Life After Warming,David Wallace-Wells,"Wallace-Wells, David",,"=""0525576703""","=""9780525576709""",0,4.02,Tim Duggan Books,Hardcover,310,2019,2019,,2022/01/17,to-read,to-read (#112),to-read,,,,0,0
19635,Anagrams,Lorrie Moore,"Moore, Lorrie",,"=""0446672726""","=""9780446672726""",0,3.93,Warner Books (NY),Paperback,228,1997,1986,,2022/01/11,to-read,to-read (#110),to-read,,,,0,0
34272471,"Altered Traits: Science Reveals How Meditation Changes Your Mind, Brain, and Body",Daniel Goleman,"Goleman, Daniel",Richard J. Davidson,"=""0399184384""","=""9780399184383""",0,3.91,Avery,Hardcover,336,2017,2017,,2022/01/11,to-read,to-read (#109),to-read,,,,0,0
420731,Now You See Her,Linda Howard,"Howard, Linda",,"=""0743482891""","=""9780743482899""",0,4.08,Pocket Books,Paperback,362,2003,1998,,2022/01/09,to-read,to-read (#108),to-read,,,,0,0
21843050,"A Case of Spirits (A Charm of Magpies, #2.5)",K.J. Charles,"Charles, K.J.",,"=""""","=""""",0,4.01,"Samhain Publishing, Ltd.",Kindle Edition,32,2015,2015,,2022/01/09,to-read,to-read (#107),to-read,,,,0,0
34715201,"A Case of Possession (A Charm of Magpies, #2)",K.J. Charles,"Charles, K.J.",,"=""""","=""9780995799035""",0,4.19,KJC Books,ebook,211,2017,2014,,2022/01/09,to-read,to-read (#106),to-read,,,,0,0
57145833,My Body,Emily Ratajkowski,"Ratajkowski, Emily",,"=""1250817862""","=""9781250817860""",0,4.06,Metropolitan Books,Hardcover,239,2021,2021,,2022/01/09,to-read,to-read (#105),to-read,,,,0,0
45152372,How to Stop Time,Matt Haig,"Haig, Matt",,"=""0525522891""","=""9780525522898""",0,3.84,Penguin Books,Paperback,325,2019,2017,,2022/01/09,to-read,to-read (#104),to-read,,,,0,0
54621094,The Last House on Needless Street,Catriona Ward,"Ward, Catriona",,"=""1788166167""","=""9781788166164""",0,3.87,Viper,Hardcover,335,2021,2021,,2022/01/07,to-read,to-read (#103),to-read,,,,0,0
1999475,A Million Miles in a Thousand Years: What I Learned While Editing My Life,Donald Miller,"Miller, Donald",,"=""0785213066""","=""9780785213062""",5,4.13,Thomas Nelson,Hardcover,255,2009,2009,2022/01/07,2021/12/21,,,read,4.5<br/><br/>I read this bit by bit every morning to start the new year off on a positive note. I loved the little tidbits about what goes into making movies enjoyable and the parallels made to real life. The end was a bit repetitive though.,,,1,0
55404546,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",4,4.06,Ballantine Books,Hardcover,369,2021,2021,2022/01/03,2021/12/09,,,read,,,,1,0
